category,tool_name,filename,url
Financial Calculators,Payback Period Calculator,payback-period-calculator.html,https://uti-mate.com/payback-period-calculator.html
Financial Calculators,Present Value Calculator,present-value-calculator.html,https://uti-mate.com/present-value-calculator.html
Financial Calculators,Future Value Calculator,future-value-calculator.html,https://uti-mate.com/future-value-calculator.html
Financial Calculators,Commission Calculator,commission-calculator.html,https://uti-mate.com/commission-calculator.html
Financial Calculators,Mortgage Calculator UK,mortgage-calculator-uk.html,https://uti-mate.com/mortgage-calculator-uk.html
Financial Calculators,Canadian Mortgage Calculator,canadian-mortgage-calculator.html,https://uti-mate.com/canadian-mortgage-calculator.html
Financial Calculators,Mortgage Amortization Calculator,mortgage-amortization-calculator.html,https://uti-mate.com/mortgage-amortization-calculator.html
Financial Calculators,Percent Off Calculator,percent-off-calculator.html,https://uti-mate.com/percent-off-calculator.html
Fitness and Health Calculators,Calorie Calculator,calorie-calculator.html,https://uti-mate.com/calorie-calculator.html
Fitness and Health Calculators,Body Fat Calculator,body-fat-calculator.html,https://uti-mate.com/body-fat-calculator.html
Fitness and Health Calculators,BMR Calculator,bmr-calculator.html,https://uti-mate.com/bmr-calculator.html
Fitness and Health Calculators,Macro Calculator,macro-calculator.html,https://uti-mate.com/macro-calculator.html
Fitness and Health Calculators,Ideal Weight Calculator,ideal-weight-calculator.html,https://uti-mate.com/ideal-weight-calculator.html
Fitness and Health Calculators,Pregnancy Calculator,pregnancy-calculator.html,https://uti-mate.com/pregnancy-calculator.html
Fitness and Health Calculators,Pregnancy Weight Gain Calculator,pregnancy-weight-gain-calculator.html,https://uti-mate.com/pregnancy-weight-gain-calculator.html
Fitness and Health Calculators,Pregnancy Conception Calculator,pregnancy-conception-calculator.html,https://uti-mate.com/pregnancy-conception-calculator.html
Fitness and Health Calculators,Due Date Calculator,due-date-calculator.html,https://uti-mate.com/due-date-calculator.html
Fitness and Health Calculators,Pace Calculator,pace-calculator.html,https://uti-mate.com/pace-calculator.html
Fitness and Health Calculators,Army Body Fat Calculator,army-body-fat-calculator.html,https://uti-mate.com/army-body-fat-calculator.html
Fitness and Health Calculators,Carbohydrate Calculator,carbohydrate-calculator.html,https://uti-mate.com/carbohydrate-calculator.html
Fitness and Health Calculators,Lean Body Mass Calculator,lean-body-mass-calculator.html,https://uti-mate.com/lean-body-mass-calculator.html
Fitness and Health Calculators,Healthy Weight Calculator,healthy-weight-calculator.html,https://uti-mate.com/healthy-weight-calculator.html
Fitness and Health Calculators,Calories Burned Calculator,calories-burned-calculator.html,https://uti-mate.com/calories-burned-calculator.html
Fitness and Health Calculators,One Rep Max Calculator,one-rep-max-calculator.html,https://uti-mate.com/one-rep-max-calculator.html
Fitness and Health Calculators,Target Heart Rate Calculator,target-heart-rate-calculator.html,https://uti-mate.com/target-heart-rate-calculator.html
Fitness and Health Calculators,Protein Calculator,protein-calculator.html,https://uti-mate.com/protein-calculator.html
Fitness and Health Calculators,Fat Intake Calculator,fat-intake-calculator.html,https://uti-mate.com/fat-intake-calculator.html
Fitness and Health Calculators,TDEE Calculator,tdee-calculator.html,https://uti-mate.com/tdee-calculator.html
Fitness and Health Calculators,Ovulation Calculator,ovulation-calculator.html,https://uti-mate.com/ovulation-calculator.html
Fitness and Health Calculators,Conception Calculator,conception-calculator.html,https://uti-mate.com/conception-calculator.html
